#{"t_start": 1784097332.540789, "env_id": "None"}
r,l,t
10.0,10,3.388202
10.0,8,3.389009
10.0,10,3.390049
10.0,8,3.39086
10.0,8,3.391659
10.0,8,3.392467
10.0,10,3.393459
10.0,8,3.394249
10.0,8,3.395041
10.0,10,3.396027
10.0,10,3.397037
10.0,8,3.397845
10.0,8,3.398646
10.0,8,3.399439
10.0,10,3.40043
10.0,10,3.401413
10.0,8,3.402211
10.0,10,3.403206
10.0,8,3.403993
10.0,8,3.404808
10.0,8,3.405597
10.0,8,3.406428
10.0,10,3.407474
10.0,10,3.408474
10.0,8,3.409272
10.0,8,3.410072
10.0,10,3.411073
10.0,8,3.411867
10.0,8,3.412676
10.0,8,3.413467
10.0,8,3.414267
10.0,8,3.415079
10.0,8,3.415872
10.0,8,3.416663
10.0,8,3.417451
10.0,10,3.418432
10.0,14,3.419798
10.0,8,3.420611
10.0,8,3.421405
10.0,8,3.422208
10.0,8,3.423203
10.0,8,3.424048
10.0,8,3.424877
10.0,8,3.425692
10.0,12,3.426881
10.0,10,3.427882
10.0,8,3.428691
10.0,12,3.429874
10.0,10,3.430859
10.0,8,3.431667
10.0,8,3.432455
10.0,8,3.433244
10.0,10,3.434222
10.0,8,3.435006
10.0,8,3.43579
10.0,8,3.436597
10.0,8,3.437382
10.0,10,3.438364
10.0,8,3.439149
10.0,8,3.439955
10.0,10,3.44093
10.0,8,3.441716
10.0,8,3.442498
10.0,8,3.443287
10.0,10,3.444278
10.0,8,3.445059
10.0,8,3.445843
10.0,12,3.447014
10.0,8,3.447809
10.0,10,3.448796
10.0,8,3.449576
10.0,8,3.450354
10.0,8,3.451134
10.0,16,3.452703
10.0,8,3.453491
10.0,10,3.454466
10.0,8,3.455252
10.0,8,3.456034
10.0,8,3.456836
10.0,8,3.457619
10.0,8,3.4584
10.0,8,3.459184
10.0,8,3.459973
10.0,8,3.46077
10.0,8,3.461553
10.0,8,3.462336
10.0,8,3.463122
10.0,8,3.463906
10.0,8,3.464689
10.0,8,3.465486
10.0,10,3.46646
10.0,8,3.467241
10.0,8,3.468033
10.0,8,3.468825
10.0,8,3.469609
10.0,10,3.470585
10.0,10,3.471557
10.0,8,3.472343
10.0,8,3.473143
10.0,8,3.473926
10.0,10,3.474901
10.0,8,3.475689
10.0,8,3.476483
10.0,10,3.47745
10.0,8,3.478231
10.0,8,3.47901
10.0,8,3.479788
10.0,8,3.480566
10.0,12,3.481748
10.0,12,3.482904
10.0,8,3.483709
10.0,8,3.484495
10.0,8,3.485282
10.0,8,3.486066
10.0,10,3.487052
10.0,10,3.488028
10.0,8,3.488813
10.0,8,3.489597
10.0,10,3.490744
10.0,8,3.491602
10.0,8,3.492413
10.0,8,3.49322
10.0,8,3.494019
10.0,8,3.494812
10.0,8,3.495613
10.0,8,3.49641
10.0,10,3.497401
10.0,8,3.498207
10.0,10,3.499195
10.0,10,3.500182
10.0,8,3.501114
10.0,10,3.502221
10.0,8,3.503074
10.0,10,3.504124
10.0,8,3.504959
10.0,10,3.506003
10.0,8,3.506861
10.0,8,3.507711
10.0,8,3.508536
10.0,8,3.509361
10.0,8,3.510185
10.0,8,3.511015
10.0,8,3.511856
10.0,8,3.512677
10.0,8,3.513502
10.0,8,3.514325
10.0,8,3.515165
10.0,8,3.515984
10.0,8,3.516807
10.0,8,3.517626
10.0,8,3.518441
10.0,8,3.51926
10.0,8,3.520081
10.0,10,3.521098
10.0,10,3.52212
10.0,8,3.522937
10.0,8,3.523798
10.0,8,3.524613
10.0,8,3.525431
10.0,8,3.526256
10.0,8,3.527074
10.0,8,3.527887
10.0,10,3.528902
10.0,10,3.529917
10.0,8,3.530744
10.0,8,3.531589
10.0,8,3.532409
10.0,8,3.533227
10.0,8,3.53405
10.0,8,3.534875
10.0,8,3.535694
10.0,8,3.536512
10.0,10,3.537539
10.0,8,3.538359
10.0,8,3.539182
10.0,10,3.540277
10.0,12,3.541487
10.0,8,3.542293
10.0,8,3.784525
10.0,8,3.785393
10.0,8,3.786235
10.0,12,3.787447
10.0,8,3.788252
10.0,14,3.78964
10.0,12,3.790827
10.0,8,3.791624
10.0,12,3.7928
10.0,8,3.79359
10.0,8,3.794398
10.0,8,3.795201
10.0,8,3.795985
10.0,12,3.797153
10.0,8,3.797957
10.0,8,3.798745
10.0,8,3.799529
10.0,8,3.800309
10.0,8,3.80109
10.0,8,3.801878
10.0,8,3.802672
10.0,8,3.803456
10.0,8,3.804242
10.0,10,3.805228
10.0,8,3.806012
10.0,8,3.806809
10.0,8,3.807588
10.0,8,3.808375
10.0,12,3.809549
10.0,10,3.810553
10.0,8,3.811339
10.0,8,3.812126
10.0,8,3.812907
10.0,8,3.813691
10.0,8,3.814481
10.0,8,3.815308
10.0,8,3.816085
10.0,8,3.816866
10.0,8,3.817665
10.0,8,3.818452
10.0,8,3.819237
10.0,8,3.820017
10.0,12,3.821184
10.0,12,3.822346
10.0,8,3.823166
10.0,8,3.823948
10.0,8,3.824738
10.0,10,3.825713
10.0,8,3.826512
10.0,8,3.827297
10.0,8,3.828081
10.0,8,3.828862
10.0,10,3.829828
10.0,8,3.830608
10.0,8,3.831444
