#{"t_start": 1784097126.338288, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.777644
10.0,10,1.77902
9.0,9,1.780323
9.0,9,1.782068
10.0,10,1.783511
11.0,11,1.785355
9.0,9,1.78671
9.0,9,1.788075
9.0,9,1.789774
10.0,10,1.791198
11.0,11,1.793062
9.0,9,1.794474
8.0,8,1.795746
10.0,10,1.797535
9.0,9,1.798832
10.0,10,1.800182
8.0,8,1.801492
10.0,10,1.803293
8.0,8,1.804563
9.0,9,1.805927
9.0,9,1.807259
11.0,11,1.809091
8.0,8,1.810398
9.0,9,1.811743
9.0,9,1.813427
10.0,10,1.814889
10.0,10,1.816736
10.0,10,1.818095
9.0,9,1.819426
8.0,8,1.820731
9.0,9,1.822475
10.0,10,1.823959
11.0,11,1.825789
9.0,9,1.827159
10.0,10,1.828917
8.0,8,1.830222
10.0,10,1.831607
9.0,9,1.833021
10.0,10,1.834952
9.0,9,1.836352
10.0,10,1.838426
8.0,8,1.839816
10.0,10,1.841224
10.0,10,1.843051
10.0,10,1.844512
9.0,9,1.845873
10.0,10,1.847511
9.0,9,1.848891
10.0,10,1.85072
10.0,10,1.852152
10.0,10,1.854032
9.0,9,1.855442
9.0,9,1.856854
8.0,8,1.858162
9.0,9,1.859506
10.0,10,1.86132
9.0,9,1.862639
10.0,10,1.864394
11.0,11,1.865857
10.0,10,1.867641
9.0,9,1.869023
9.0,9,1.87038
10.0,10,1.872216
10.0,10,1.873669
10.0,10,1.875427
12.0,12,1.877298
9.0,9,1.878661
8.0,8,1.879971
12.0,12,1.881903
9.0,9,1.883258
9.0,9,1.88497
10.0,10,1.886378
10.0,10,1.888274
9.0,9,1.889652
9.0,9,1.891023
9.0,9,1.892404
9.0,9,1.894114
9.0,9,1.895474
10.0,10,1.896881
9.0,9,1.898636
8.0,8,1.899885
8.0,8,1.901176
10.0,10,1.902564
8.0,8,1.903869
10.0,10,1.905615
10.0,10,1.907109
9.0,9,1.908458
10.0,10,1.910322
9.0,9,1.911684
10.0,10,1.913568
9.0,9,1.914917
8.0,8,1.916199
10.0,10,1.917623
10.0,10,1.919414
10.0,10,1.920799
9.0,9,1.922615
10.0,10,1.924083
10.0,10,1.925867
9.0,9,1.927238
10.0,10,1.928537
10.0,10,1.930261
10.0,10,1.931702
9.0,9,1.933433
8.0,8,1.934756
9.0,9,1.936098
8.0,8,1.937403
10.0,10,1.938785
10.0,10,1.940601
10.0,10,1.941979
9.0,9,1.943755
10.0,10,1.945132
9.0,9,1.946497
10.0,10,1.948332
10.0,10,1.949741
10.0,10,1.951534
9.0,9,1.952903
10.0,10,1.954615
8.0,8,1.955914
9.0,9,1.957265
9.0,9,1.958648
9.0,9,1.959967
11.0,11,1.961806
9.0,9,1.963172
9.0,9,1.964956
10.0,10,1.966378
12.0,12,1.968254
10.0,10,1.970038
8.0,8,1.971316
9.0,9,1.972598
9.0,9,1.974006
10.0,10,1.975752
11.0,11,1.977205
8.0,8,1.978483
9.0,9,1.980168
9.0,9,1.981563
9.0,9,1.982954
9.0,9,1.984326
9.0,9,1.986047
10.0,10,1.987475
9.0,9,1.988873
9.0,9,1.990589
10.0,10,1.992013
9.0,9,1.993405
12.0,12,1.995315
10.0,10,1.997076
8.0,8,1.998382
10.0,10,1.99968
10.0,10,2.001411
9.0,9,2.002679
10.0,10,2.00443
10.0,10,2.005839
8.0,8,2.007155
10.0,10,2.008914
12.0,12,2.010837
11.0,11,2.012354
10.0,10,2.014174
9.0,9,2.015585
9.0,9,2.016927
9.0,9,2.018641
10.0,10,2.020081
9.0,9,2.02142
9.0,9,2.023141
9.0,9,2.02445
9.0,9,2.025801
8.0,8,2.027083
8.0,8,2.02836
9.0,9,2.029712
9.0,9,2.031501
9.0,9,2.032866
10.0,10,2.034299
10.0,10,2.035954
10.0,10,2.037361
8.0,8,2.038646
10.0,10,2.040381
10.0,10,2.04177
9.0,9,2.043538
8.0,8,2.044775
11.0,11,2.046173
12.0,12,2.04807
10.0,10,2.049836
8.0,8,2.051109
9.0,9,2.052441
8.0,8,2.053667
9.0,9,2.055046
9.0,9,2.056767
10.0,10,2.058177
9.0,9,2.059491
9.0,9,2.061284
8.0,8,2.062489
10.0,10,2.063902
9.0,9,2.06525
9.0,9,2.067029
10.0,10,2.068438
9.0,9,2.069737
9.0,9,2.071451
9.0,9,2.072829
9.0,9,2.07414
12.0,12,2.07605
10.0,10,2.077855
8.0,8,2.07915
10.0,10,2.080559
8.0,8,2.081845
12.0,12,2.083714
10.0,10,2.085532
8.0,8,2.086813
10.0,10,2.088242
8.0,8,2.089508
10.0,10,2.091313
13.0,13,2.093233
10.0,10,2.09467
10.0,10,2.096486
10.0,10,2.097875
9.0,9,2.099631
9.0,9,2.100996
12.0,12,2.102893
10.0,10,2.104349
9.0,9,2.106115
8.0,8,2.107391
10.0,10,2.108785
10.0,10,2.11059
10.0,10,2.111964
9.0,9,2.113325
9.0,9,2.115051
10.0,10,2.116467
9.0,9,2.117788
10.0,10,2.119567
10.0,10,2.120919
9.0,9,2.122686
10.0,10,2.124028
9.0,9,2.125452
8.0,8,2.126735
9.0,9,2.128473
10.0,10,2.129868
10.0,10,2.131667
8.0,8,2.132948
10.0,10,2.134321
10.0,10,2.136105
10.0,10,2.137597
10.0,10,2.139409
10.0,10,2.140828
10.0,10,2.142644
8.0,8,2.143931
11.0,11,2.145327
9.0,9,2.147068
9.0,9,2.148391
10.0,10,2.149807
10.0,10,2.151588
9.0,9,2.152997
11.0,11,2.154755
10.0,10,2.156164
11.0,11,2.158013
9.0,9,2.159379
9.0,9,2.161073
8.0,8,2.162354
8.0,8,2.163635
10.0,10,2.165059
9.0,9,2.166372
10.0,10,2.168517
10.0,10,2.169959
8.0,8,2.171312
8.0,8,2.172608
9.0,9,2.174325
10.0,10,2.175726
9.0,9,2.177088
9.0,9,2.178843
10.0,10,2.180219
10.0,10,2.182006
8.0,8,2.183289
12.0,12,2.185177
10.0,10,2.186573
10.0,10,2.188333
11.0,11,2.189811
10.0,10,2.191649
11.0,11,2.193485
10.0,10,2.19489
10.0,10,2.196717
11.0,11,2.19815
10.0,10,2.199961
8.0,8,2.201251
10.0,10,2.202696
9.0,9,2.204422
9.0,9,2.20578
10.0,10,2.20717
8.0,8,2.208479
10.0,10,2.210237
10.0,10,2.211617
9.0,9,2.21336
12.0,12,2.215273
9.0,9,2.216595
10.0,10,2.218
10.0,10,2.219735
10.0,10,2.221138
9.0,9,2.222853
10.0,10,2.224209
10.0,10,2.226
9.0,9,2.227376
8.0,8,2.228671
10.0,10,2.230065
11.0,11,2.231865
10.0,10,2.233655
9.0,9,2.234989
9.0,9,2.236308
9.0,9,2.237613
11.0,11,2.239449
10.0,10,2.241187
9.0,9,2.242512
9.0,9,2.243831
9.0,9,2.245171
9.0,9,2.246895
10.0,10,2.248301
10.0,10,2.250031
10.0,10,2.25151
9.0,9,2.252852
10.0,10,2.254632
9.0,9,2.255972
8.0,8,2.257292
9.0,9,2.258617
9.0,9,2.260332
9.0,9,2.261694
11.0,11,2.263484
9.0,9,2.264834
8.0,8,2.266096
9.0,9,2.267447
10.0,10,2.269246
8.0,8,2.270535
9.0,9,2.27187
9.0,9,2.27321
10.0,10,2.274991
9.0,9,2.276329
11.0,11,2.278154
10.0,10,2.279599
10.0,10,2.281372
8.0,8,2.28268
10.0,10,2.284127
11.0,11,2.285964
10.0,10,2.287379
8.0,8,2.288672
10.0,10,2.290477
9.0,9,2.291775
12.0,12,2.293658
11.0,11,2.295461
