#{"t_start": 1784097176.0750148, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.333842
10.0,10,2.335658
10.0,10,2.337075
10.0,10,2.338903
10.0,10,2.340331
11.0,11,2.342187
9.0,9,2.343519
10.0,10,2.345312
8.0,8,2.346614
8.0,8,2.347913
9.0,9,2.349262
9.0,9,2.350621
9.0,9,2.352347
9.0,9,2.353725
9.0,9,2.355065
10.0,10,2.356895
10.0,10,2.358319
8.0,8,2.359603
8.0,8,2.360904
9.0,9,2.362278
10.0,10,2.364077
10.0,10,2.365509
9.0,9,2.367239
11.0,11,2.368698
10.0,10,2.370514
10.0,10,2.371907
9.0,9,2.373589
9.0,9,2.374959
9.0,9,2.376294
9.0,9,2.377645
9.0,9,2.379375
10.0,10,2.380797
9.0,9,2.382172
9.0,9,2.383872
10.0,10,2.385294
9.0,9,2.38667
9.0,9,2.388394
12.0,12,2.390248
10.0,10,2.391671
9.0,9,2.393062
11.0,11,2.394861
10.0,10,2.396595
8.0,8,2.39787
10.0,10,2.39944
8.0,8,2.400858
10.0,10,2.402687
10.0,10,2.404088
9.0,9,2.405472
10.0,10,2.407294
10.0,10,2.408738
11.0,11,2.410652
10.0,10,2.412482
10.0,10,2.413903
9.0,9,2.415327
10.0,10,2.41713
8.0,8,2.418438
10.0,10,2.419927
10.0,10,2.421726
9.0,9,2.423082
11.0,11,2.42512
8.0,8,2.426499
10.0,10,2.427899
10.0,10,2.429671
10.0,10,2.431169
10.0,10,2.433026
9.0,9,2.434377
10.0,10,2.43619
9.0,9,2.437594
8.0,8,2.438884
9.0,9,2.440255
10.0,10,2.442295
10.0,10,2.443922
10.0,10,2.445774
9.0,9,2.447197
11.0,11,2.449191
9.0,9,2.450614
10.0,10,2.452082
12.0,12,2.453985
9.0,9,2.455748
9.0,9,2.4572
10.0,10,2.45881
9.0,9,2.460646
9.0,9,2.46202
10.0,10,2.463497
9.0,9,2.465251
11.0,11,2.466767
9.0,9,2.468529
10.0,10,2.470015
10.0,10,2.471868
9.0,9,2.473221
9.0,9,2.474727
10.0,10,2.476882
8.0,8,2.478217
10.0,10,2.47967
10.0,10,2.481526
11.0,11,2.482994
10.0,10,2.484821
10.0,10,2.486255
10.0,10,2.488062
10.0,10,2.489508
9.0,9,2.49139
9.0,9,2.493148
9.0,9,2.494589
9.0,9,2.495991
9.0,9,2.497732
10.0,10,2.499224
10.0,10,2.501031
10.0,10,2.502486
8.0,8,2.503792
10.0,10,2.505588
8.0,8,2.506933
9.0,9,2.508384
10.0,10,2.509978
9.0,9,2.511755
10.0,10,2.513186
10.0,10,2.5151
11.0,11,2.516561
10.0,10,2.518378
9.0,9,2.519751
11.0,11,2.521602
8.0,8,2.522896
9.0,9,2.524364
9.0,9,2.526018
10.0,10,2.527863
8.0,8,2.529175
10.0,10,2.530597
9.0,9,2.532364
9.0,9,2.533749
10.0,10,2.535176
10.0,10,2.53697
10.0,10,2.538367
10.0,10,2.540193
10.0,10,2.541757
11.0,11,2.543723
10.0,10,2.545542
9.0,9,2.546979
10.0,10,2.548497
9.0,9,2.550276
10.0,10,2.551712
10.0,10,2.553569
11.0,11,2.555121
10.0,10,2.55708
10.0,10,2.558704
10.0,10,2.560646
10.0,10,2.562128
9.0,9,2.563851
11.0,11,2.565368
9.0,9,2.567146
10.0,10,2.568595
9.0,9,2.56995
10.0,10,2.571734
9.0,9,2.57312
10.0,10,2.575163
9.0,9,2.576712
8.0,8,2.578054
9.0,9,2.579442
10.0,10,2.581256
9.0,9,2.582631
10.0,10,2.584042
9.0,9,2.585821
8.0,8,2.587128
9.0,9,2.588487
10.0,10,2.589883
9.0,9,2.591845
9.0,9,2.593466
10.0,10,2.594927
10.0,10,2.59675
9.0,9,2.598172
9.0,9,2.599528
10.0,10,2.601339
9.0,9,2.602692
10.0,10,2.60454
8.0,8,2.605837
10.0,10,2.60734
9.0,9,2.608829
9.0,9,2.61064
10.0,10,2.612074
9.0,9,2.613444
8.0,8,2.614714
8.0,8,2.61606
8.0,8,2.617372
11.0,11,2.619251
10.0,10,2.621065
10.0,10,2.622524
9.0,9,2.623927
10.0,10,2.62614
10.0,10,2.627614
9.0,9,2.629399
10.0,10,2.63084
9.0,9,2.632211
9.0,9,2.633942
10.0,10,2.6354
9.0,9,2.636762
10.0,10,2.638564
10.0,10,2.639994
11.0,11,2.642111
10.0,10,2.643928
9.0,9,2.645285
10.0,10,2.646702
10.0,10,2.648588
9.0,9,2.649971
9.0,9,2.651334
10.0,10,2.653108
9.0,9,2.654486
9.0,9,2.655868
9.0,9,2.65768
10.0,10,2.659112
10.0,10,2.660919
9.0,9,2.662272
8.0,8,2.663561
9.0,9,2.664971
8.0,8,2.66634
9.0,9,2.667684
9.0,9,2.669427
9.0,9,2.670762
8.0,8,2.672104
10.0,10,2.673571
10.0,10,2.675416
10.0,10,2.676841
8.0,8,2.678156
9.0,9,2.67994
10.0,10,2.681425
9.0,9,2.682759
8.0,8,2.684063
9.0,9,2.685786
9.0,9,2.687139
11.0,11,2.689015
8.0,8,2.690354
10.0,10,2.691763
9.0,9,2.693162
10.0,10,2.69492
10.0,10,2.696318
10.0,10,2.698132
11.0,11,2.699959
8.0,8,2.701219
9.0,9,2.702579
10.0,10,2.704007
9.0,9,2.70572
9.0,9,2.707128
10.0,10,2.708609
9.0,9,2.710315
